Imagen|Tipos de Daño|Piezas del Vehículo|Sugerencia|
642.jpg|Rayón|Puerta trasera derecha|Reparar|
643.jpg|Rayón|Parachoques trasero|Reparar|
644.jpg|Rotura|Faros izquierdo|Reemplazar|
645.jpg|Rotura|Parabrisas delantero|Reemplazar|
646.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
646.jpg|Abolladura|Parachoques delantero|Reparar|
647.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
647.jpg|Abolladura|Puerta delantera izquierda|Reparar|
647.jpg|Abolladura|Marco de las puertas|Reparar|
648.jpg|Abolladura|Puerta trasera derecha|Reparar|
648.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
649.jpg|Rotura|Rueda |Reparar|
650.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
650.jpg|Abolladura|Parachoques delantero|Reparar|
650.jpg|Abolladura|Puerta delantera izquierda|Reparar|
650.jpg|Rotura|Parabrisas delantero|Reemplazar|
650.jpg|Rotura|Faros izquierdo|Reemplazar|
650.jpg|Rotura|Antiniebla delantero izquierdo|Reemplazar|
651.jpg|Rotura|Faros izquierdo|Reemplazar|
651.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
651.jpg|Rayón|Parachoques delantero|Reparar|
652.jpg|Rotura|Rueda |Reparar|
653.jpg|Abolladura|Puerta trasera derecha|Reparar|
654.jpg|Rayón|Parachoques trasero|Reparar|
655.jpg|Rayón|Puerta trasera izquierda|Reparar|
655.jpg|Rayón|Manija izquierda|Reparar|
655.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
656.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
656.jpg|Abolladura|Parachoques trasero|Reparar|
656.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
657.jpg|Rayón|Parabrisas delantero|Reparar|
658.jpg|Abolladura|Capó |Reparar|
658.jpg|Desprendimiento|Espejo lateral derecho|Reemplazar|
659.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
659.jpg|Desprendimiento|Parachoques trasero|Reparar|
660.jpg|Rayón|Puerta delantera derecha|Reparar|
661.jpg|Rotura|Rueda |Reemplazar|
661.jpg|Desprendimiento|Guardabarros delantero derecho |Reemplazar|
662.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
663.jpg|Deformación|Capó |Reparar|
663.jpg|Rotura|Faros derecho|Reemplazar|
663.jpg|Rayón|Rejilla, parrilla|Reparar|
664.jpg|Rayón|Parachoques delantero|Reparar|
664.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
665.jpg|Rotura|Parabrisas delantero|Reemplazar|
665.jpg|Desprendimiento|Espejo lateral izquierdo|Reemplazar|
666.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
667.jpg|Rayón|Parachoques delantero|Reparar|
668.jpg|Rotura|Parabrisas delantero|Reemplazar|
669.jpg|Rayón|Parachoques trasero|Reparar|
670.jpg|Rayón|Parachoques trasero|Reparar|
671.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
671.jpg|Rayón|Parachoques delantero|Reparar|
672.jpg|Abolladura|Parachoques delantero|Reparar|
673.jpg|Rotura|Faros derecho|Reemplazar|
673.jpg|Abolladura|Parachoques delantero|Reparar|
673.jpg|Rotura|Rejilla, parrilla|Reemplazar|
673.jpg|Deformación|Capó |Reparar|
674.jpg|Rotura|Parabrisas delantero|Reemplazar|
675.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
675.jpg|Abolladura|Parachoques delantero|Reparar|
676.jpg|Rayón|Parachoques trasero|Reparar|
677.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
677.jpg|Abolladura|Puerta trasera izquierda|Reparar|
677.jpg|Abolladura|Puerta delantera izquierda|Reparar|
677.jpg|Abolladura|Marco de las puertas|Reparar|
677.jpg|Desprendimiento|Moldura puerta trasera izquierda|Reemplazar|
677.jpg|Desprendimiento|Moldura puerta delantera izquierda|Reemplazar|
678.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
679.jpg|Rotura|Parabrisas trasero|Reemplazar|
680.jpg|Rotura|Guardabarros delantero izquierdo |Reemplazar|
680.jpg|Rotura|Faros izquierdo|Reemplazar|
680.jpg|Rotura|Parachoques delantero|Reemplazar|
680.jpg|Abolladura|Capó |Reparar|
680.jpg|Rotura|Guardabarros delantero izquierdo |Reemplazar|
681.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
682.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
683.jpg|Rotura|Parabrisas delantero|Reemplazar|
684.jpg|Rotura|Parachoques delantero|Reemplazar|
684.jpg|Rotura|Faros izquierdo|Reemplazar|
684.jpg|Rotura|Guardabarros delantero izquierdo |Reemplazar|
685.jpg|Rayón|Guardabarros trasero derecho|Reparar|
686.jpg|Rotura|Parabrisas delantero|Reemplazar|
687.jpg|Fractura|Marco de las puertas|Reparar|
687.jpg|Rayón|Puerta trasera derecha|Reparar|
688.jpg|Deformación|Parachoques trasero|Reemplazar|
688.jpg|Deformación|Guardabarros trasero derecho|Reemplazar|
688.jpg|Rotura|Luz trasera derecho|Reemplazar|
688.jpg|Deformación|Maletero|Reemplazar|
688.jpg|Rotura|Parabrisas trasero|Reemplazar|
689.jpg|Rayón|Parachoques delantero|Reparar|
690.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
690.jpg|Abolladura|Puerta trasera izquierda|Reparar|
691.jpg|Rotura|Rueda |Reparar|
692.jpg|Rotura|Parabrisas delantero|Reemplazar|
693.jpg|Rayón|Parachoques trasero|Reparar|
694.jpg|Rayón|Parachoques delantero|Reparar|
695.jpg|Rotura|Parabrisas delantero|Reemplazar|
696.jpg|Rayón|Guardabarros trasero derecho|Reparar|
697.jpg|Rayón|Parachoques delantero|Reparar|
698.jpg|Rotura|Luz trasera derecho|Reparar|
698.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
699.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
700.jpg|Rayón|Parachoques delantero|Reparar|
701.jpg|Rayón|Parachoques delantero|Reparar|
702.jpg|Rayón|Puerta trasera izquierda|Reparar|
703.jpg|Rayón|Parachoques trasero|Reparar|
703.jpg|Rayón|Guardabarros trasero derecho|Reparar|
704.jpg|Abolladura|Parachoques trasero|Reparar|
704.jpg|Deformación|Guardabarros trasero izquierdo|Reparar|
704.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
705.jpg|Rayón|Puerta delantera izquierda|Reparar|
705.jpg|Rayón|Manija izquierda|Reparar|
705.jpg|Rayón|Puerta trasera izquierda|Reparar|
706.jpg|Rayón|Parachoques trasero|Reparar|
707.jpg|Rotura|Guardabarros delantero derecho |Reemplazar|
707.jpg|Rotura|Parachoques delantero|Reemplazar|
708.jpg|Rayón|Puerta delantera izquierda|Reparar|
708.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
709.jpg|Rotura|Parabrisas delantero|Reemplazar|
710.jpg|Rotura|Parabrisas delantero|Reemplazar|
711.jpg|Rayón|Puerta trasera derecha|Reparar|
711.jpg|Rayón|Puerta delantera derecha|Reparar|
712.jpg|Rayón|Parachoques delantero|Reparar|
713.jpg|Fractura|Parachoques delantero|Reparar|
713.jpg|Fractura|Faros izquierdo|Reemplazar|
714.jpg|Fractura|Luz trasera izquierdo|Reemplazar|
714.jpg|Rayón|Parachoques trasero|Reparar|
715.jpg|Fractura|Faros derecho|Reemplazar|
715.jpg|Fractura|Luz indicadora delantera derecha|Reemplazar|
715.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
715.jpg|Abolladura|Capó |Reparar|
715.jpg|Rotura|Rejilla, parrilla|Reemplazar|
716.jpg|Rayón|Parachoques trasero|Reparar|
717.jpg|Fractura|Parachoques trasero|Reparar|
718.jpg|Abolladura|Parachoques trasero|Reparar|
718.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
718.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
719.jpg|Rotura|Parabrisas trasero|Reemplazar|
720.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
721.jpg|Rayón|Parachoques delantero|Reparar|
722.jpg|Rotura|Faros izquierdo|Reemplazar|
722.jpg|Abolladura|Parachoques delantero|Reparar|
723.jpg|Rotura|Parabrisas delantero|Reemplazar|
724.jpg|Rayón|Parachoques delantero|Reparar|
724.jpg|Rotura|Antiniebla delantero izquierdo|Reemplazar|
725.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
725.jpg|Rotura|Luz indicadora delantera derecha|Reemplazar|
726.jpg|Rayón|Parachoques trasero|Reparar|
727.jpg|Rayón|Parachoques trasero|Reparar|
728.jpg|Rayón|Parachoques trasero|Reparar|
729.jpg|Rayón|Parachoques trasero|Reparar|
730.jpg|Rotura|Rueda |Reemplazar|
731.jpg|Rotura|Parabrisas delantero|Reemplazar|
732.jpg|Rotura|Rueda |Reparar|
733.jpg|Rotura|Parabrisas delantero|Reemplazar|
734.jpg|Rayón|Parachoques trasero|Reparar|
735.jpg|Deformación|Parachoques trasero|Reparar|
735.jpg|Abolladura|Maletero|Reparar|
736.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
737.jpg|Abolladura|Parachoques trasero|Reparar|
738.jpg|Rotura|Rueda |Reparar|
739.jpg|Rotura|Parabrisas delantero|Reemplazar|
740.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
741.jpg|Abolladura|Parachoques trasero|Reparar|
741.jpg|Rotura|Luz trasera derecho|Reemplazar|
741.jpg|Abolladura|Maletero|Reparar|
741.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
742.jpg|Abolladura|Parachoques delantero|Reparar|
743.jpg|Rotura|Ventana delantera izquierda|Reemplazar|
744.jpg|Rotura|Rueda |Reparar|
745.jpg|Rotura|Parabrisas delantero|Reemplazar|
746.jpg|Deformación|Parachoques delantero|Reemplazar|
746.jpg|Rotura|Faros izquierdo|Reemplazar|
746.jpg|Deformación|Capó |Reparar|
746.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
747.jpg|Rotura|Rueda |Reparar|
748.jpg|Deformación|Guardabarros delantero derecho |Reemplazar|
748.jpg|Deformación|Parachoques delantero|Reparar|
748.jpg|Rotura|Faros derecho|Reemplazar|
748.jpg|Abolladura|Capó |Reparar|
748.jpg|Desprendimiento|Rueda |Reparar|
749.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
750.jpg|Abolladura|Marco de las puertas|Reparar|
750.jpg|Abolladura|Techo |Reparar|
751.jpg|Fractura|Parachoques trasero|Reparar|
752.jpg|Abolladura|Parachoques trasero|Reparar|
753.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
753.jpg|Rotura|Parachoques delantero|Reparar|
753.jpg|Rotura|Faros derecho|Reemplazar|
753.jpg|Abolladura|Capó |Reparar|
754.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
754.jpg|Abolladura|Parachoques delantero|Reparar|
755.jpg|Fractura|Parachoques trasero|Reparar|
756.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
756.jpg|Abolladura|Parachoques delantero|Reparar|
756.jpg|Rotura|Faros izquierdo|Reemplazar|
756.jpg|Abolladura|Puerta delantera izquierda|Reparar|
757.jpg|Abolladura|Parachoques trasero|Reparar|
758.jpg|Desprendimiento|Parachoques delantero|Reparar|
758.jpg|Desprendimiento|Guardabarros delantero derecho |Reparar|
758.jpg|Rotura|Antiniebla delantero derecho|Reemplazar|
759.jpg|Rayón|Parachoques trasero|Reparar|
760.jpg|Rotura|Parabrisas delantero|Reemplazar|
761.jpg|Abolladura|Parachoques delantero|Reparar|
762.jpg|Rotura|Faros derecho|Reemplazar|
762.jpg|Deformación|Guardabarros delantero derecho |Reemplazar|
762.jpg|Deformación|Parachoques delantero|Reemplazar|
762.jpg|Abolladura|Capó |Reparar|
763.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
764.jpg|Rayón|Parachoques delantero|Reparar|
764.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
765.jpg|Abolladura|Capó |Reparar|
765.jpg|Abolladura|Parachoques delantero|Reparar|
766.jpg|Rayón|Parachoques delantero|Reparar|
766.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
767.jpg|Desprendimiento|Parachoques delantero|Reparar|
768.jpg|Rotura|Rueda |Reparar|
769.jpg|Rayón|Puerta trasera derecha|Reparar|
769.jpg|Rayón|Marco de las puertas|Reparar|
769.jpg|Rayón|Guardabarros trasero derecho|Reparar|
770.jpg|Abolladura|Puerta trasera derecha|Reparar|
771.jpg|Abolladura|Puerta trasera derecha|Reparar|
772.jpg|Rotura|Parabrisas delantero|Reparar|
773.jpg|Rayón|Puerta delantera izquierda|Reparar|
774.jpg|Rayón|Parachoques trasero|Reparar|
775.jpg|Rotura|Parabrisas delantero|Reparar|
776.jpg|Fractura|Parachoques trasero|Reparar|
777.jpg|Rayón|Parachoques trasero|Reparar|
777.jpg|Abolladura|Parachoques trasero|Reparar|
777.jpg|Rotura|Luz trasera derecho|Reemplazar|
778.jpg|Abolladura|Parachoques trasero|Reparar|
778.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
779.jpg|Abolladura|Parachoques trasero|Reparar|
780.jpg|Rayón|Guardabarros delantero derecho |Reparar|
781.jpg|Rayón|Parachoques trasero|Reparar|
782.jpg|Deformación|Puerta trasera derecha|Reparar|
782.jpg|Deformación|Puerta delantera derecha|Reparar|
782.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
782.jpg|Deformación|Moldura puerta trasera derecha|Reemplazar|
783.jpg|Rayón|Parachoques trasero|Reparar|
784.jpg|Abolladura|Puerta delantera izquierda|Reparar|
784.jpg|Abolladura|Puerta trasera izquierda|Reparar|
785.jpg|Rayón|Puerta trasera derecha|Reparar|
785.jpg|Rayón|Puerta delantera derecha|Reparar|
786.jpg|Deformación|Puerta delantera derecha|Reparar|
787.jpg|Rotura|Luz trasera derecho|Reemplazar|
788.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
789.jpg|Fractura|Parachoques delantero|Reparar|
789.jpg|Rotura|Faros derecho|Reemplazar|
789.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
789.jpg|Abolladura|Capó |Reparar|
790.jpg|Rayón|Puerta delantera derecha|Reparar|
790.jpg|Rayón|Guardabarros delantero derecho |Reparar|
791.jpg|Rayón|Puerta delantera derecha|Reparar|
791.jpg|Rayón|Guardabarros delantero derecho |Reparar|
792.jpg|Rotura|Rueda |Reparar|
793.jpg|Fractura|Parachoques delantero|Reparar|
793.jpg|Rotura|Faros izquierdo|Reemplazar|
793.jpg|Rotura|Antiniebla delantero izquierdo|Reemplazar|
794.jpg|Desprendimiento|Espejo lateral derecho|Reemplazar|
794.jpg|Rayón|Puerta delantera derecha|Reparar|
794.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
794.jpg|Rayón|Parachoques delantero|Reparar|
795.jpg|Abolladura|Puerta trasera izquierda|Reparar|
795.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
796.jpg|Desprendimiento|Parachoques trasero|Reparar|
797.jpg|Rotura|Parabrisas trasero|Reemplazar|
798.jpg|Rotura|Luz trasera derecho|Reemplazar|
798.jpg|Abolladura|Parachoques trasero|Reparar|
799.jpg|Rotura|Parabrisas trasero|Reemplazar|
800.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
800.jpg|Rayón|Parachoques delantero|Reparar|
801.jpg|Abolladura|Puerta delantera izquierda|Reparar|
801.jpg|Abolladura|Puerta trasera izquierda|Reparar|
801.jpg|Desprendimiento|Manija izquierda|Reemplazar|
801.jpg|Deformación|Moldura puerta delantera izquierda|Reemplazar|
801.jpg|Desprendimiento|Moldura puerta trasera izquierda|Reemplazar|
802.jpg|Desprendimiento|Parachoques delantero|Reemplazar|
802.jpg|Rotura|Faros derecho|Reemplazar|
802.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
802.jpg|Abolladura|Capó |Reparar|
803.jpg|Rayón|Parachoques delantero|Reparar|
804.jpg|Abolladura|Parachoques trasero|Reparar|
805.jpg|Rotura|Parabrisas delantero|Reemplazar|
806.jpg|Rayón|Parachoques delantero|Reparar|
807.jpg|Rayón|Parachoques trasero|Reparar|
808.jpg|Desprendimiento|Parachoques trasero|Reparar|
809.jpg|Fractura|Parachoques delantero|Reparar|
810.jpg|Rayón|Parachoques delantero|Reparar|
811.jpg|Deformación|Puerta delantera izquierda|Reemplazar|
811.jpg|Deformación|Puerta trasera izquierda|Reemplazar|
811.jpg|Deformación|Marco de las puertas|Reparar|
812.jpg|Deformación|Puerta delantera izquierda|Reemplazar|
812.jpg|Deformación|Puerta trasera izquierda|Reparar|
812.jpg|Deformación|Marco de las puertas|Reparar|
813.jpg|Rayón|Parachoques delantero|Reparar|
814.jpg|Rayón|Parachoques delantero|Reparar|
815.jpg|Rayón|Parachoques delantero|Reparar|
816.jpg|Fractura|Parachoques trasero|Reparar|
817.jpg|Rayón|Parachoques delantero|Reparar|
817.jpg|Rayón|Guardabarros delantero derecho |Reparar|
818.jpg|Deformación|Marco de las puertas|Reparar|
819.jpg|Rotura|Faros derecho|Reemplazar|
819.jpg|Abolladura|Parachoques delantero|Reparar|
819.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
819.jpg|Abolladura|Capó |Reparar|
820.jpg|Rotura|Rueda |Reparar|
821.jpg|Rotura|Rueda |Reparar|
821.jpg|Rayón|Parachoques trasero|Reparar|
822.jpg|Rayón|Parachoques delantero|Reparar|
822.jpg|Rotura|Luz indicadora delantera izquierda|Reemplazar|
823.jpg|Rotura|Faros izquierdo|Reemplazar|
823.jpg|Rotura|Parachoques delantero|Reparar|
823.jpg|Abolladura|Capó |Reparar|
824.jpg|Abolladura|Parachoques delantero|Reparar|
825.jpg|Rayón|Parachoques delantero|Reparar|
826.jpg|Rayón|Parachoques trasero|Reparar|
827.jpg|Rotura|Parabrisas delantero|Reemplazar|
828.jpg|Fractura|Parachoques trasero|Reparar|
829.jpg|Rotura|Parabrisas delantero|Reemplazar|
830.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
831.jpg|Rotura|Rueda |Reparar|
832.jpg|Rayón|Parachoques delantero|Reparar|
833.jpg|Rayón|Parachoques trasero|Reparar|
834.jpg|Rotura|Parabrisas delantero|Reemplazar|
834.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
834.jpg|Abolladura|Capó |Reparar|
835.jpg|Abolladura|Puerta trasera derecha|Reparar|
835.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
835.jpg|Abolladura|Marco de las puertas|Reparar|
836.jpg|Abolladura|Puerta delantera derecha|Reparar|
836.jpg|Abolladura|Puerta trasera derecha|Reparar|
836.jpg|Rayón|Marco de las puertas|Reparar|
837.jpg|Deformación|Guardabarros delantero izquierdo |Reparar|
837.jpg|Deformación|Parachoques delantero|Reemplazar|
837.jpg|Rotura|Faros izquierdo|Reemplazar|
837.jpg|Abolladura|Capó |Reparar|
838.jpg|Abolladura|Marco de las puertas|Reparar|
838.jpg|Abolladura|Puerta delantera derecha|Reparar|
839.jpg|Rayón|Parabrisas delantero|Reparar|
840.jpg|Rayón|Parachoques delantero|Reemplazar|
840.jpg|Abolladura|Guardabarros delantero izquierdo |Reemplazar|
841.jpg|Rayón|Parachoques trasero|Reemplazar|
842.jpg|Rotura|Parabrisas delantero|Reemplazar|
842.jpg|Abolladura|Capó |Reparar|
842.jpg|Abolladura|Techo |Reparar|
843.jpg|Rayón|Parachoques delantero|Reparar|
843.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
844.jpg|Abolladura|Puerta delantera derecha|Reparar|
845.jpg|Desprendimiento|Parachoques delantero|Reparar|
846.jpg|Rotura|Rueda |Reparar|
846.jpg|Rayón|Parachoques trasero|Reparar|
846.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
846.jpg|Abolladura|Puerta trasera izquierda|Reparar|
847.jpg|Rayón|Parachoques delantero|Reparar|
848.jpg|Rotura|Parabrisas delantero|Reemplazar|
849.jpg|Abolladura|Parachoques delantero|Reparar|
849.jpg|Rotura|Antiniebla delantero izquierdo|Reemplazar|
850.jpg|Abolladura|Puerta trasera derecha|Reparar|
851.jpg|Rotura|Parabrisas delantero|Reemplazar|
852.jpg|Rayón|Parachoques delantero|Reparar|
853.jpg|Rotura|Faros derecho|Reemplazar|
853.jpg|Fractura|Parachoques delantero|Reparar|
854.jpg|Abolladura|Puerta delantera izquierda|Reparar|
855.jpg|Fractura|Parachoques trasero|Reparar|
855.jpg|Abolladura|Maletero|Reparar|
856.jpg|Rotura|Parabrisas delantero|Reemplazar|
857.jpg|Rayón|Guardabarros trasero derecho|Reparar|
858.jpg|Abolladura|Puerta delantera izquierda|Reparar|
858.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
858.jpg|Desprendimiento|Luz indicadora delantera izquierda|Reemplazar|
858.jpg|Abolladura|Marco de las puertas|Reparar|
858.jpg|Rayón|Puerta trasera izquierda|Reparar|
859.jpg|Rotura|Rueda |Reparar|
860.jpg|Rotura|Faros derecho|Reemplazar|
860.jpg|Deformación|Guardabarros delantero derecho |Reemplazar|
860.jpg|Deformación|Capó |Reemplazar|
860.jpg|Abolladura|Parachoques delantero|Reparar|
860.jpg|Rotura|Parabrisas delantero|Reemplazar|
860.jpg|Abolladura|Marco de la ventana|Reparar|
860.jpg|Desprendimiento|Espejo lateral derecho|Reemplazar|
861.jpg|Abolladura|Parachoques trasero|Reparar|
862.jpg|Rotura|Parabrisas delantero|Reemplazar|
862.jpg|Abolladura|Marco de la ventana|Reparar|
863.jpg|Rotura|Parabrisas delantero|Reemplazar|
864.jpg|Rotura|Parabrisas delantero|Reemplazar|
865.jpg|Rayón|Guardabarros delantero derecho |Reparar|
865.jpg|Rayón|Parachoques delantero|Reparar|
866.jpg|Rotura|Luz trasera derecho|Reemplazar|
867.jpg|Rayón|Parachoques delantero|Reparar|
868.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
868.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
869.jpg|Rotura|Faros izquierdo|Reemplazar|
869.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
869.jpg|Rayón|Parachoques delantero|Reparar|
870.jpg|Fractura|Parachoques delantero|Reparar|
871.jpg|Abolladura|Capó |Reparar|
872.jpg|Deformación|Guardabarros trasero derecho|Reemplazar|
872.jpg|Abolladura|Parabrisas trasero|Reparar|
873.jpg|Abolladura|Puerta trasera izquierda|Reparar|
874.jpg|Rotura|Parabrisas delantero|Reemplazar|
875.jpg|Abolladura|Parachoques trasero|Reparar|
876.jpg|Abolladura|Parachoques trasero|Reparar|
877.jpg|Rayón|Parachoques delantero|Reparar|
878.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
879.jpg|Rayón|Parachoques trasero|Reparar|
880.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
881.jpg|Fractura|Parachoques delantero|Reparar|
882.jpg|Rayón|Parachoques delantero|Reparar|
882.jpg|Rayón|Guardabarros delantero derecho |Reparar|
883.jpg|Abolladura|Puerta trasera izquierda|Reparar|
883.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
883.jpg|Abolladura|Puerta delantera izquierda|Reparar|
883.jpg|Abolladura|Marco de las puertas|Reparar|
884.jpg|Rotura|Rueda |Reparar|
885.jpg|Rayón|Parachoques trasero|Reparar|
886.jpg|Abolladura|Puerta delantera izquierda|Reparar|
886.jpg|Abolladura|Puerta trasera izquierda|Reparar|
887.jpg|Desprendimiento|Parachoques delantero|Reemplazar|
888.jpg|Rotura|Faros derecho|Reparar|
888.jpg|Abolladura|Capó |Reparar|
888.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
889.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
889.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
889.jpg|Fractura|Parachoques trasero|Reparar|
890.jpg|Desprendimiento|Guardabarros delantero izquierdo |Reemplazar|
890.jpg|Abolladura|Parachoques delantero|Reparar|
890.jpg|Rayón|Faros izquierdo|Reparar|
891.jpg|Rayón|Parachoques delantero|Reparar|
892.jpg|Rotura|Rueda |Reparar|
893.jpg|Rotura|Parachoques trasero|Reparar|
894.jpg|Abolladura|Maletero|Reparar|
895.jpg|Rayón|Guardabarros trasero derecho|Reparar|
895.jpg|Rayón|Puerta trasera derecha|Reparar|
896.jpg|Rayón|Parachoques delantero|Reparar|
897.jpg|Abolladura|Puerta delantera derecha|Reparar|
897.jpg|Abolladura|Moldura puerta delantera derecha|Reparar|
898.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
898.jpg|Rotura|Maletero|Reparar|
899.jpg|Rayón|Parachoques trasero|Reparar|
900.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
900.jpg|Abolladura|Maletero|Reparar|
900.jpg|Abolladura|Parachoques trasero|Reparar|
901.jpg|Rotura|Ventanilla trasera izquierda      |Reemplazar|
902.jpg|Rotura|Parachoques trasero|Reparar|
902.jpg|Abolladura|Maletero|Reparar|
903.jpg|Abolladura|Parachoques delantero|Reparar|
904.jpg|Rayón|Puerta trasera izquierda|Reparar|
904.jpg|Rayón|Puerta delantera izquierda|Reparar|
905.jpg|Rotura|Parabrisas trasero|Reemplazar|
906.jpg|Abolladura|Parachoques delantero|Reparar|
906.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
907.jpg|Abolladura|Puerta delantera izquierda|Reparar|
908.jpg|Abolladura|Parachoques trasero|Reparar|
909.jpg|Rotura|Parabrisas delantero|Reemplazar|
910.jpg|Rotura|Parabrisas delantero|Reemplazar|
911.jpg|Deformación|Puerta delantera derecha|Reemplazar|
911.jpg|Deformación|Puerta trasera derecha|Reemplazar|
911.jpg|Abolladura|Moldura puerta delantera derecha|Reparar|
911.jpg|Abolladura|Puerta trasera derecha|Reparar|
912.jpg|Rotura|Parabrisas delantero|Reemplazar|
913.jpg|Rotura|Parabrisas delantero|Reemplazar|
914.jpg|Rotura|Rueda |Reparar|
915.jpg|Fractura|Parachoques delantero|Reparar|
916.jpg|Fractura|Parachoques delantero|Reparar|
916.jpg|Fractura|Faros derecho|Reemplazar|
917.jpg|Fractura|Luz trasera izquierdo|Reemplazar|
917.jpg|Rayón|Maletero|Reparar|
918.jpg|Fractura|Parachoques delantero|Reparar|
918.jpg|Fractura|Faros izquierdo|Reemplazar|
918.jpg|Desprendimiento|Rejilla, parrilla|Reemplazar|
918.jpg|Deformación|Capó |Reparar|
918.jpg|Fractura|Parabrisas delantero|Reemplazar|
919.jpg|Rayón|Parachoques delantero|Reparar|
920.jpg|Rayón|Parachoques delantero|Reparar|
921.jpg|Rayón|Parachoques delantero|Reparar|
922.jpg|Rayón|Parachoques delantero|Reparar|
923.jpg|Abolladura|Parachoques delantero|Reparar|
923.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
924.jpg|Rotura|Rueda |Reparar|
924.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
924.jpg|Abolladura|Puerta delantera izquierda|Reparar|
925.jpg|Rotura|Faros izquierdo|Reemplazar|
925.jpg|Abolladura|Parachoques delantero|Reparar|
925.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
926.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
926.jpg|Abolladura|Parachoques delantero|Reparar|
926.jpg|Rotura|Faros izquierdo|Reemplazar|
926.jpg|Abolladura|Capó |Reparar|
927.jpg|Rayón|Puerta trasera izquierda|Reparar|
928.jpg|Rotura|Parabrisas delantero|Reemplazar|
929.jpg|Abolladura|Puerta trasera izquierda|Reparar|
930.jpg|Rayón|Parachoques delantero|Reparar|
931.jpg|Rayón|Parachoques trasero|Reparar|
932.jpg|Desprendimiento|Guardabarros delantero derecho |Reparar|
